Date,Open,High,Low,Close,Volume,Cluster
2020-04-16,177.949997,178.050003,172.509995,176.25,23593200.0,0
2020-04-15,175.190002,178.190002,172.820007,176.970001,17423000.0,0
2020-04-14,178.979996,181.229996,176.619995,178.169998,21011800.0,0
2020-04-13,173.669998,175.0,169.449997,174.789993,19355400.0,0
2020-04-09,175.899994,177.080002,171.570007,175.190002,23534300.0,0
2020-04-08,171.25,175.0,167.740005,174.279999,21664200.0,0
2020-04-07,171.789993,173.389999,166.009995,168.830002,31411900.0,0
2020-04-06,160.149994,166.199997,158.509995,165.550003,28453600.0,0
2020-04-03,157.149994,157.910004,150.830002,154.179993,25983300.0,0
2020-04-02,159.100006,161.350006,155.919998,158.190002,20886300.0,0
2020-04-01,161.619995,164.149994,158.039993,159.600006,19507600.0,0
2020-03-31,165.479996,170.929993,164.199997,166.800003,23676300.0,0
2020-03-30,159.179993,166.75,158.059998,165.949997,22515200.0,0
2020-03-27,158.199997,160.089996,154.75,156.789993,24879900.0,0
2020-03-26,158.25,164.0,157.020004,163.339996,26556800.0,0
2020-03-25,158.919998,162.990005,153.059998,156.210007,35184300.0,0
2020-03-24,155.210007,161.309998,152.570007,160.979996,30440400.0,0
2020-03-23,149.660004,152.309998,142.25,148.100006,29830800.0,0
2020-03-20,156.020004,159.270004,148.0,149.729996,32568400.0,0
2020-03-19,146.619995,159.929993,144.800003,153.130005,39862300.0,0
2020-03-18,139.75,148.179993,137.100006,146.960007,37553100.0,0
2020-03-17,150.740005,153.940002,140.0,149.419998,34255600.0,0
2020-03-16,152.320007,159.130005,143.100006,146.009995,39120400.0,0
2020-03-13,163.529999,170.789993,157.600006,170.279999,35028600.0,0
2020-03-12,159.539993,166.600006,154.339996,154.470001,43266300.0,0
2020-03-11,174.009995,175.880005,167.660004,170.240005,20373900.0,0
2020-03-10,174.669998,178.289993,169.5,178.190002,24517800.0,0
2020-03-09,169.600006,175.0,165.190002,169.5,29949000.0,0
2020-03-06,178.330002,183.779999,176.259995,181.089996,24559600.0,0
2020-03-05,186.779999,188.990005,183.889999,185.169998,19333400.0,0
2020-03-04,189.169998,191.830002,186.389999,191.759995,23062500.0,0
2020-03-03,196.220001,197.240005,183.970001,185.889999,27984100.0,0
2020-03-02,194.029999,196.570007,188.850006,196.440002,24949000.0,0
2020-02-28,182.699997,192.740005,181.820007,192.470001,32568900.0,0
2020-02-27,191.820007,195.880005,189.5,189.75,21682600.0,0
2020-02-26,197.190002,201.210007,195.490005,197.199997,16524500.0,0
2020-02-25,202.25,203.5,195.949997,196.770004,21433500.0,0
2020-02-24,201.800003,203.649994,198.169998,200.720001,23080100.0,0
2020-02-21,213.479996,214.240005,208.830002,210.179993,14092300.0,0
2020-02-20,216.520004,218.770004,212.949997,214.580002,13109200.0,0
2020-02-19,217.990005,218.320007,216.110001,217.490005,12135100.0,0
2020-02-18,213.550003,217.979996,213.399994,217.800003,15609200.0,0
2020-02-14,214.0,214.929993,212.649994,214.179993,10741700.0,0
2020-02-13,209.520004,214.330002,209.179993,213.139999,15396600.0,0
2020-02-12,207.850006,211.220001,207.399994,210.759995,13813700.0,0
2020-02-11,210.190002,210.860001,206.509995,207.190002,25030800.0,0
2020-02-10,211.520004,213.800003,210.660004,213.059998,11856400.0,0
2020-02-07,210.300003,212.820007,209.929993,212.330002,12242500.0,0
2020-02-06,210.470001,211.190002,209.339996,210.850006,10567500.0,0
2020-02-05,212.509995,212.729996,208.710007,210.110001,12538200.0,0
2020-02-04,206.619995,210.600006,205.199997,209.830002,19628900.0,0
2020-02-03,203.440002,205.139999,202.5,204.190002,15495600.0,0
2020-01-31,208.429993,208.690002,201.059998,201.910004,31359900.0,0
2020-01-30,206.529999,211.429993,204.75,209.529999,48775500.0,0
2020-01-29,221.440002,224.199997,218.449997,223.229996,33181300.0,0
2020-01-28,216.139999,218.740005,213.520004,217.789993,13413800.0,0
2020-01-27,213.100006,216.059998,212.5,214.869995,13810700.0,0
2020-01-24,220.800003,221.779999,216.110001,217.940002,11905800.0,0
2020-01-23,220.75,221.490005,219.270004,219.759995,11195000.0,0
2020-01-22,222.309998,222.75,221.279999,221.320007,12212800.0,0
2020-01-21,222.160004,222.369995,219.119995,221.440002,14275800.0,0
2020-01-17,222.029999,222.289993,220.529999,222.139999,15905900.0,0
2020-01-16,222.570007,222.630005,220.389999,221.770004,10015300.0,0
2020-01-15,220.610001,221.679993,220.139999,221.149994,10036500.0,0
2020-01-14,221.610001,222.380005,218.630005,219.059998,13288900.0,0
2020-01-13,219.600006,221.970001,219.210007,221.910004,14463400.0,0
2020-01-10,219.199997,219.880005,217.419998,218.059998,12119400.0,0
2020-01-09,217.539993,218.380005,216.279999,218.300003,12642800.0,0
2020-01-08,213.0,216.240005,212.610001,215.220001,13475000.0,0
2020-01-07,212.820007,214.580002,211.75,213.059998,14912400.0,0
2020-01-06,206.699997,212.779999,206.520004,212.600006,17058900.0,0
2020-01-03,207.210007,210.399994,206.949997,208.669998,11188400.0,0
2020-01-02,206.75,209.789993,206.270004,209.779999,12077100.0,0
2019-12-31,204.0,205.559998,203.600006,205.25,8953500.0,0
2019-12-30,207.860001,207.899994,203.899994,204.410004,10524300.0,0
2019-12-27,208.669998,208.929993,206.589996,208.100006,10284200.0,0
2019-12-26,205.570007,207.820007,205.309998,207.789993,9350700.0,0
2019-12-24,206.300003,206.789993,205.0,205.119995,6046300.0,0
2019-12-23,206.699997,208.589996,205.679993,206.179993,13348900.0,0
2019-12-20,207.479996,207.710007,203.429993,206.300003,27306900.0,0
2019-12-19,202.779999,206.300003,202.509995,206.059998,16514600.0,0
2019-12-18,200.089996,204.300003,200.089996,202.5,23274400.0,0
2019-12-17,198.839996,199.0,196.130005,198.389999,10175700.0,0
2019-12-16,195.270004,199.119995,194.809998,197.919998,14911500.0,0
2019-12-13,196.399994,196.800003,193.169998,194.110001,18798000.0,0
2019-12-12,202.350006,203.660004,194.100006,196.75,23734800.0,0
2019-12-11,200.279999,202.630005,200.279999,202.259995,8036800.0,0
2019-12-10,201.660004,202.050003,200.149994,200.869995,9475700.0,0
2019-12-09,200.649994,203.139999,200.210007,201.339996,11954800.0,0
2019-12-06,200.5,201.570007,200.059998,201.050003,12270600.0,0
2019-12-05,199.860001,201.289993,198.210007,199.360001,9740400.0,0
2019-12-04,200.0,200.029999,198.050003,198.710007,8456300.0,0
2019-12-03,197.600006,198.929993,195.080002,198.820007,11595300.0,0
2019-12-02,202.130005,202.179993,198.050003,199.699997,11503400.0,0
2019-11-29,201.600006,203.800003,201.210007,201.639999,7985200.0,0
2019-11-27,199.899994,203.139999,199.419998,202.0,12736600.0,0
2019-11-26,200.0,200.149994,198.039993,198.970001,11735500.0,0
2019-11-25,199.520004,200.970001,199.25,199.789993,15272300.0,0
2019-11-22,198.380005,199.300003,197.619995,198.820007,9959800.0,0
2019-11-21,197.419998,199.089996,196.860001,197.929993,12131000.0,0
2019-11-20,198.580002,199.589996,195.429993,197.509995,12355400.0,0
2019-11-19,197.399994,200.0,196.860001,199.320007,19056800.0,0
2019-11-18,194.559998,198.630005,193.050003,197.399994,16167200.0,0
2019-11-15,194.259995,195.300003,193.380005,195.100006,11524300.0,0
2019-11-14,192.929993,194.029999,191.449997,193.149994,9040500.0,0
2019-11-13,194.699997,195.699997,192.740005,193.190002,10860700.0,0
2019-11-12,190.0,195.059998,189.740005,194.470001,17615500.0,0
2019-11-11,189.929993,190.080002,188.539993,189.610001,8631200.0,0
2019-11-08,190.0,192.339996,189.699997,190.839996,10760800.0,0
2019-11-07,191.910004,193.440002,189.470001,190.419998,13473000.0,0
2019-11-06,194.029999,194.369995,191.350006,191.550003,10973000.0,0
2019-11-05,195.369995,195.75,193.600006,194.320007,9942000.0,0
2019-11-04,194.550003,197.369995,193.809998,194.720001,16371300.0,0
2019-11-01,192.850006,194.110001,189.910004,193.619995,21711800.0,0
2019-10-31,196.699997,198.089996,188.25,191.649994,42286500.0,0
2019-10-30,189.559998,190.449997,185.979996,188.25,28734600.0,0
